Station,River,Location,Easting,Northing,Area,ALTBAR,BFI,PROPWET,SAAR,QMED,Ireland
25005,Leven,Leven Bridge,444500,512100,194.15,126,0.381,0.34,726,43.32,FALSE
25006,Greta,Rutherford Bridge,403350,512200,86.81,402,0.241,0.62,1127,73.776,FALSE
25008,Tees,Barnard Castle,404600,516650,510.15,452,0.321,0.6,1310,261.3,FALSE
25009,Tees,Low Moor,436450,510550,1267.12,271,0.374,0.4,966,406.762,FALSE
25011,Langdon Beck,Langdon,385200,530900,12.79,544,0.237,0.59,1463,15.647,FALSE
25012,Harwood Beck,Harwood,384950,530900,24.58,539,0.261,0.59,1577,33.426,FALSE
25018,Tees,Middleton in Teesdale,394850,525000,242.01,531,0.283,0.6,1533,213.1405,FALSE
25019,Leven,Easby,458450,508700,15.09,215,0.524,0.38,830,5.09,FALSE
25020,Skerne,Preston le Skerne,429200,523750,152.77,112,0.437,0.32,654,14.842,FALSE
25021,Skerne,Bradbury,431800,528500,75.7,115,0.472,0.32,662,6.199,FALSE
25029,Leven,Foxton Bridge,445550,509400,183.86,131,0.382,0.35,732,36.72,FALSE
25808,Burnt Hill,Moor House,374600,523150,0.75,614,0.294,0.64,1499,0.0795,FALSE
25809,Bog Hill,Moor House,377350,532650,0.05,530,0.228,0.64,1757,0.066,FALSE
25810,Sike Hill,Moor House,377200,533200,0.04,534,0.275,0.64,1757,0.0945,FALSE
26003,Foston Beck,Foston Mill,509350,454900,59.59,77,0.878,0.3,698,1.742,FALSE
26009,West Beck,Snakeholme Lock,506650,455600,195.61,105,0.897,0.32,721,5.912,FALSE
26010,Driffield Canal,Snakeholme Lock,506700,455600,49.48,78,0.858,0.31,699,1.95,FALSE
26013,Driffield Trout Stream,Driffield,501850,456100,53.33,63,0.807,0.32,690,2.7,FALSE
26014,Water Forlornes,Driffield,502250,458300,32.42,104,0.949,0.31,721,0.424,FALSE
26016,Gypsey Race,Kirby Grindalythe,490400,467500,15.85,154,0.959,0.32,757,0.0995,FALSE
27001,Nidd,Hunsingore Weir,442800,453000,493.91,195,0.407,0.37,962,115.0925,FALSE
27002,Wharfe,Wetherby Flint Mill,442250,447300,759.05,273,0.386,0.43,1163,235.996,FALSE
27006,Don,Sheffield Hadfields,438950,390900,364.88,262,0.416,0.37,1014,86.7365,FALSE
27007,Ure,Westwick,435600,467050,912.58,273,0.42,0.41,1120,260.224,FALSE
27008,Swale,Leckby Topcliffe,441550,474850,1350.26,183,0.436,0.38,835,168.25,FALSE
27009,Ouse,Skelton,456850,455350,3300.8,185,0.439,0.37,899,322,FALSE
27010,Hodge Beck,Bransdale Weir,462700,494450,18.82,323,0.341,0.4,987,9.42,FALSE
27014,Rye,Little Habton,474250,477100,680.9,181,0.547,0.35,824,84.718,FALSE
27021,Don,Doncaster,457000,404000,1252.87,154,0.492,0.34,800,157.706,FALSE
